tid,seat_no,price,isBooked,date
755,22884,323,1,1971-03-21
561,58121,946,1,1970-04-29
772,70550,643,0,1987-02-13
318,65497,442,1,1907-02-06
435,38664,642,1,1915-07-06
120,73078,669,1,1986-05-20
314,47542,934,1,2015-06-11
644,33726,549,0,1909-01-03
159,82413,985,1,1919-07-24
913,44729,556,0,1909-03-15
146,5718,701,0,1914-01-02
151,14826,314,1,1936-07-03
256,1796,438,1,2014-06-24
256,81900,517,1,1925-03-14
786,8187,758,1,1914-06-16
822,95920,754,1,1950-03-02
168,82814,811,1,1956-07-18
237,6361,931,0,2000-02-13
465,95232,366,1,1908-12-06
516,67440,786,0,1921-01-28
620,1975,797,1,1987-05-17
501,44461,867,0,1979-04-12
644,75501,427,0,1905-05-09
202,69421,584,0,1922-10-19
940,1946,566,0,1957-10-18
552,98650,918,1,1961-01-05
446,27006,695,0,1910-05-08
673,28667,516,0,1930-06-12
755,28172,898,0,1941-12-08
630,99268,423,0,1952-11-24
760,38525,756,1,1942-10-24
541,80574,340,0,1935-06-04
476,5139,547,1,1917-12-19
686,3104,311,0,1907-07-24
972,21899,852,0,1969-06-19
744,11247,543,1,1965-07-26
522,9220,354,0,1978-03-25
304,48328,512,0,1922-09-23
656,56403,548,1,1904-05-15
963,16033,491,1,2001-02-26
612,77936,914,0,1908-06-22
834,81170,566,1,1955-09-25
900,90034,767,1,1953-10-06
777,29232,841,1,1900-12-21
322,35764,484,0,1996-05-09
533,39214,645,1,1927-11-12
822,87520,816,0,1984-02-04
842,80703,366,0,1980-05-11
743,75848,784,0,2012-10-22
396,77889,927,1,1902-07-15
927,52505,988,1,1957-03-12
187,20262,950,0,1908-06-23
648,31337,878,0,1950-11-03
393,35316,662,1,2008-05-04
245,23996,928,0,2018-12-04
775,85791,529,1,2016-01-03
718,12812,553,0,1976-03-15
515,43859,605,1,2000-10-19
622,10802,358,0,2015-10-15
865,28098,616,1,2016-04-07
735,60663,809,0,1995-07-25
868,74641,902,1,1904-12-26
572,74291,998,1,1944-03-13
688,62536,439,1,1989-02-21
967,49838,602,0,1946-06-18
629,21827,569,0,1913-11-17
